CLAVE_ACCESO	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	Producto	Código	Cantidad	P. Unitario	Descuento	Total	Impuestos
1505202501099001544900120190100002839064831496611	0990015449001	INTACO ECUADOR S.A.	15/05/2025	MAXIEMPASTE INTERIOR EB 20KG	P1680	20.00	10.1700	64.27	139.13	6.96
1505202501099001544900120190100002839064831496611	0990015449001	INTACO ECUADOR S.A.	15/05/2025	SERV LOGISTICO	SRLOGT	1.00	117.8000	0.00	117.80	17.67
0105202501179071031900122560030000594485658032310	1790710319001	FARMACIAS Y COMISARIATOS DE MEDICINAS S.A FARCOMED	01/05/2025	LORATADINA (LABOVIDA) TABS. 10MG C60 SUELTA	57257060	5	0.11	0	0.55	0.00
1505202501099001544900120190100002839079899749817	0990015449001	INTACO ECUADOR S.A.	15/05/2025	BONDEX PREMIUM PORCE. 25KG	P0614	80.00	13.5900	264.62	822.58	41.13
1505202501099001544900120190100002839079899749817	0990015449001	INTACO ECUADOR S.A.	15/05/2025	SERV LOGISTICO	SRLOGT	1.00	19.0000	0.00	19.00	2.85
1505202501099215390300120190010000083545577655714	0992153903001	TRANSCASH S.A.	15/05/2025	CERAMICA CSL BLANCO BRILLANTE C1 (27*45) 2.07 M2	0020060007C1	53.82	6.086956	0.00	327.60	49.14
1505202501099215390300120190010000083545577655714	0992153903001	TRANSCASH S.A.	15/05/2025	CERAMICA CSL MADERA LARA GRIS C1 (45*45) 2.29 M2	0020210011C1	100.76	5.652173	0.00	569.51	85.43
1505202501099215390300120190010000083545577655714	0992153903001	TRANSCASH S.A.	15/05/2025	CERAMICA CSL MADERA LARA NUEZ C1 (45*45) 2.29 M2	0020210013C1	100.76	5.652173	0.00	569.51	85.43
1505202501179268735700120010010000356874218307619	1792687357001	MEDINTER	15/05/2025	Consulta médica Dr. Carlos Nieto	C4	1	65	0	65	0.00
1505202501179128754100120010120119972641583934811	1791287541001	MEGADATOS SA	15/05/2025	CONSUMO DEL 15 MAYO       2025 AL 14 JUNIO      2 025,  IP FIJA ADICIONAL PYME FECHA DE ACTIVACION  16-APR-19	IP1	1	1.50	0.00	1.50	0.23
1505202501179128754100120010120119972641583934811	1791287541001	MEGADATOS SA	15/05/2025	CONSUMO DEL 15 MAYO       2025 AL 14 JUNIO      2 025,  IP FIJA FECHA DE ACTIVACION 15-JUL-24	IPF	1	15.00	14.99	0.01	0.00
1505202501179128754100120010120119972641583934811	1791287541001	MEGADATOS SA	15/05/2025	CONSUMO DEL 15 MAYO       2025 AL 14 JUNIO      2 025,  PYME-GE INNOVADOR-DEFENSE 200MBPS NA.NA FEC HA DE ACTIVACION 09-APR-19	PY05070	1	34.00	0.00	34.00	5.10
1605202501189175124500120011000000032932304201918	1891751245001	COMPAÑIA DE TRANSPORTE PESADO FAJOAR S.A.	16/05/2025	qq de ceramica NE-00585	1	29.46	0.86	0	25.34	0
1605202501189175124500120011000000032932304201918	1891751245001	COMPAÑIA DE TRANSPORTE PESADO FAJOAR S.A.	16/05/2025	qq de ceramica NE-00652	1	29.46	0.86	0	25.34	0
1605202501189175124500120011000000032932304201918	1891751245001	COMPAÑIA DE TRANSPORTE PESADO FAJOAR S.A.	16/05/2025	qq de ceramica NE-00733	1	29.46	0.86	0	25.34	0
1605202501179004122000120039030001276941790041214	1790041220001	COMERCIAL KYWI S.A.	16/05/2025	PORC. MUNIN RECT 60X120 CJ1.44MT V4	420604	1.00	16.521739	0.00	16.52	2.48
1605202501179201292900120010030000234520002345211	1792012929001	REPRESENTACIONES VALERO	16/05/2025	DECORADO COCINA MACARRONES	FRONTI005	55.000000	5.350000	0.00	294.25	44.14
1605202501179201292900120010030000234520002345211	1792012929001	REPRESENTACIONES VALERO	16/05/2025	DECORADO COCINA CUENCOS A GRIS	FRONTI021	33.000000	5.350000	0.00	176.55	26.48
1605202501179201292900120010030000234520002345211	1792012929001	REPRESENTACIONES VALERO	16/05/2025	WING MARMOL BEIGE ARENA	59711	25.000000	1.440000	0.00	36.00	5.40
1605202501179201292900120010030000234520002345211	1792012929001	REPRESENTACIONES VALERO	16/05/2025	LVM RAVENNA TIPO VESSEL BLANCO 1 pieza	O14621001	2.000000	30.000000	3.00	57.00	8.55
1605202501179201292900120010030000234520002345211	1792012929001	REPRESENTACIONES VALERO	16/05/2025	LVM RAVENNA TIPO VESSEL BONE 1 pieza	O14621031	2.000000	33.000000	3.30	62.70	9.40
1705202501179320711000120020200001767212023283310	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	17/05/2025	HORNADO COMPLETO	1406	1.00	8.67	0.00	8.67	1.30
1705202501179320711000120020200001767212023283310	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	17/05/2025	CALDO DE 31	1522	1.00	4.78	0.00	4.78	0.72
1705202501179320711000120020200001767212023283310	1793207110001	ALIMENTOS LA MAGDALENA ALIMAG-EC S.A.S.	17/05/2025	TORTILLAS CAUCARA	1117	1.00	4.78	0.00	4.78	0.72
1705202501179306126500120020020001132201234567818	1793061265001	MJM RETAIL BRANDS S.A	17/05/2025	UK.BLZ,OYUN-NSN- / F9C-MIX PRINTED-MIX P	8684148595455	1	15.64	0	15.64	2.35
1705202501179306126500120020020001132201234567818	1793061265001	MJM RETAIL BRANDS S.A	17/05/2025	32*39 Small Bag (1 Box = 500 Pieces)	ET000043481	1	0	0	0	0
1705202501176815256000120017772386362861705202511	1768152560001	CORPORACION NACIONAL DE TELECOMUNICACIONES CNT EP	17/05/2025	TELEFONIA HOGAR TOTAL CNT-22/04/2019-23/04/2019	1	1	7.99	0.00	7.99	1.20
1705202501176815256000120017772386362861705202511	1768152560001	CORPORACION NACIONAL DE TELECOMUNICACIONES CNT EP	17/05/2025	CONSUMO LOCAL	2	1	0.17	0.17	0.00	0.00
0205202501179139983800120011010003158582876071414	1791399838001	DIMPOFER CIA LTDA	02/05/2025	YETKA REJILLA LINEAL INOX. LISA/EMPOT.2en1   60cm	125533	2.0000	50.728174	5.07	96.39	14.46
1705202501179215910500120010010003963790039637910	1792159105001	MACROMODA S.A.	17/05/2025	TOPS Y OTRAS P.	0885100204603	1	17.38	0.00	17.38	2.61
1705202501179215910500120010010003963790039637910	1792159105001	MACROMODA S.A.	17/05/2025	Bolsa S	K000010000002	1	0.17	0.00	0.17	0.03
1705202501171407584100120020010000163612365172116	1714075841001	OÑA DAVILA MARIO PATRICIO	17/05/2025	Alimentación	ALIM01	1	9.000000	0.000000	9.00	1.35
1705202501180172116600120010010000055381705538817	1801721166001	CHERRES CANSECO LUIS ALBERTO	17/05/2025	30X60 ALASKA BRILLO	1200126	29.70	7.61	0.00	225.98	33.90
1805202501179258569400120010230000754941234567818	1792585694001	ESTACION DE SERVICIO PUENGASI G&A-MCJ CIA.LTDA.	18/05/2025	EXTRA	0101	8.110000	2.144348	0.00	17.39	2.61
1905202501110370414200120010010000583851905202516	1103704142001	LILA MARIA JIMENEZ	19/05/2025	(1) CERTIFICACION ELECTRONICA DE DOCUMENTO ELECTRONICO	507	1	1.340000	0.00	1.34	0.20
1905202501110370414200120010010000583841905202510	1103704142001	LILA MARIA JIMENEZ	19/05/2025	(1) CERTIFICACION ELECTRONICA DE DOCUMENTO ELECTRONICO	507	1	1.340000	0.00	1.34	0.20
1905202501110370414200120010010000583861905202511	1103704142001	LILA MARIA JIMENEZ	19/05/2025	(1) CERTIFICACION DE PLANOS EXHIBIDOS EN ORIGINAL	505	1	3.000000	0.00	3.00	0.45
1905202501110370414200120010010000583921905202514	1103704142001	LILA MARIA JIMENEZ	19/05/2025	(2) CONSULTA DATOS BIOMETRICOS  SISTEMA NACIONAL DE IDENTIFICACION CIUDADANA -  REGISTRO CIVIL (P)	428	1	0.600000	0.00	0.60	0.00
1905202501110370414200120010010000583921905202514	1103704142001	LILA MARIA JIMENEZ	19/05/2025	COMPRAVENTA	462	1	94.000000	0.00	94.00	14.10
1905202501179020808700120250010000338441909572619	1790208087001	F.V. - Area Andina S.A.	19/05/2025	LLAVE CAMPANOLA/DUCHA-TREVISO CROMO	E479.120/Y5 CR	5.000000	21.840000	29.16	80.03	12.00
1905202501179020808700120250010000338441909572619	1790208087001	F.V. - Area Andina S.A.	19/05/2025	INODORO ONE PIECE MONACO BLANCO	E179-BL	2.000000	186.260000	197.32	175.19	26.27
1905202501179320113700120010020001731620000099917	1793201137001	MOSCOSO URIARTE CIA.LTDA.	19/05/2025	DIESEL PREMIUM	0121	5.565	1.562609	0	8.70	1.30
0205202501179125611500120013271159499264191087811	1791256115001	OTECEL S.A.	02/05/2025	PREVIOPAGO PLAN MOVISTAR BASIC	20055	1	12.990000	0.00	12.99	1.95
1905202501179071031900120870180000245115658032311	1790710319001	FARMACIAS Y COMISARIATOS DE MEDICINAS S.A FARCOMED	19/05/2025	BLOX - D COMP. 1612.5 MG C30 SUELTAS	93429	30	0.616	0	18.48	0.00
1905202501179071031900120870180000245115658032311	1790710319001	FARMACIAS Y COMISARIATOS DE MEDICINAS S.A FARCOMED	19/05/2025	MONUROL GRANULADO SOBRE 3G C1-	100179737	1	12	0	12	0.00
1905202501170859169600120010020000512432016313614	1708591696001	QUIROZ AYALA EDGAR FABIAN	19/05/2025	PORCELANATO AGORA BLANCO BR. 60X120 STD	POR-0347	4.32	12.609000	0.00	54.47	8.17
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	MOLDURA ALUMINIO PLATA	IPAB1001	25.000000	5.000000	43.75	81.25	12.19
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	MOLDURA ALUMINIO BRONCE	IMABR001	25.000000	5.000000	43.75	81.25	12.19
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	MOLDURA ALUMINIO COBRE BRILLO	IMACB002	25.000000	5.360000	46.90	87.10	13.06
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	SEPARADOR T10 PLATA	ILAPB001	6.000000	5.200000	10.92	20.28	3.04
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	SEPARADOR T10 ORO BRILLO	ISTOB001	6.000000	5.200000	10.92	20.28	3.04
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	SEPARADOR T10 NEGRO BRILLO	ISTNB001	6.000000	5.200000	10.92	20.28	3.04
1905202501179244082300120040020000250950002509515	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	19/05/2025	SEPARADOR T10 BRONCE	ISTBR001	6.000000	5.200000	10.92	20.28	3.04
1905202501179016065300120191010000190802050973310	1790160653001	EDESA S.A.	19/05/2025	ONE PIECE VITTORIA RIMLESS SEGUNDA BLANCO	JS0066171302CE	1.00	76.38000	0.00	76.38	11.46
1905202501179016065300120191010000190802050973310	1790160653001	EDESA S.A.	19/05/2025	URINARIO BROOKLYN IMPERIAL	CS0065921302CG	2.00	46.06000	28.47	63.65	9.55
1905202501179016065300120191010000190802050973310	1790160653001	EDESA S.A.	19/05/2025	Asiento Forli EF Blanco Slow Down	SP0096891301CG	2.00	29.70000	20.14	39.26	5.89
1905202501179016065300120191010000190802050973310	1790160653001	EDESA S.A.	19/05/2025	IND. ANDES RF BONE-ASTO. UNIVERSAL	JS0022647331CE	5.00	70.48000	114.53	237.87	35.68
1905202501179016065300120191010000190802050973310	1790160653001	EDESA S.A.	19/05/2025	LAVAMANOS ANDES BONE	CS0055617331CE	2.00	14.76000	9.59	19.93	2.99
1905202501099215390300120190010000083929087816419	0992153903001	TRANSCASH S.A.	19/05/2025	CERAMICA CSL FACHALETA MONTECARLO BEIGE C1 (27*45) 2.07 M2	0020060004C1	20.70	6.304300	0.00	130.50	19.57
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	60X60 STATUARIO RECT CJ 1.44 M2	R414500717	84.00	11.0016	21.81	902.32	135.35
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	60X60 EMILIA GREY RECT CJ 1.44 M2	R414501317	42.00	10.6128	0.00	445.74	66.86
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	60.5X60.5 AOSTA CJ 1.83 M2	I614606985	84.00	12.4257	32.25	1011.51	151.73
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	60.5X60.5 TANARO CJ 1.83 M2	I614404285	84.00	12.4257	32.25	1011.51	151.73
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	30X60 TANARO CJ 1.98 M2	B814404284	44.00	13.4442	27.03	564.51	84.68
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	60X120 MUNIN RECT CJ 2.19 M2	P5146055A0	60.00	24.0681	105.13	1338.96	200.84
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	22X90 OAKMONT GREY RECT CJ 1.19 M2	M814701287	60.00	10.2221	21.41	591.92	88.79
1905202501019006231700120015010001842171133092211	0190062317001	CERAMICA RIALTO S.A.	19/05/2025	Seguro de Transporte	SEGURO0001	1.00	12.9000	0.00	12.90	1.94
1905202501170859169600120010020000512422016313619	1708591696001	QUIROZ AYALA EDGAR FABIAN	19/05/2025	PORCELANATO CEMENTO GRIS CLARO 60X60 STD (CJ.1.80)	POR-0268	151.20	8.696000	0.00	1314.84	197.23
0205202501179293797300120010020001449370014493717	1792937973001	WEIDMANN FRANCO SOCIEDAD CIVIL	02/05/2025	EMPANADA DE RES	0101001	2	1.52174	0	3.04	0.46
0205202501179293797300120010020001449370014493717	1792937973001	WEIDMANN FRANCO SOCIEDAD CIVIL	02/05/2025	EMPANADA DE POLLO	0101002	1	1.52174	0	1.52	0.23
0205202501179245893500120050100007167391234567811	1792458935001	ADECAMOR CIA LTDA.	02/05/2025	EXTRA	0101	8.016000	2.169565	0.00	17.39	2.61
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	CBO SUPER CAMPERO NORMAL	CACSCN	1	6.91	0	6.91	1.04
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	CON FRITA NOR	CPCN	1	0	0	0	0
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	NO APLICA	NAP3	1	0	0	0	0
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	NO APLICA PROMOCION	NAP	1	0	0	0	0
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	CON 3 PR POLLO TRADICIONAL	CAC3PT	1	0	0	0	0
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	CAMCPL152	CAMCPL152	1	0	0	0	0
0305202501179199789100120250040000944760313490813	1791997891001	ENMARSI S.A.	03/05/2025	CON GASEOSA BOTELLA PQ	CCML	1	0	0	0	0
0405202501179321781800120030010000078660516451017	1793217818001	UNSAVI S.A.S	04/05/2025	BANDEJA 3	16958	1.0000	21.73	0.00	21.73	3.26
0405202501179321781800120030010000078660516451017	1793217818001	UNSAVI S.A.S	04/05/2025	ENSALADA RUSA	16941	1.0000	0.00	0.00	0.00	0.00
0505202501099002245300120010020362857663628576612	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	05/05/2025	SC	SC	1	0.02	0	0.02	0
0505202501099002245300120010020362857663628576612	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	05/05/2025	PRIMAS	PRIMAS	1	4.81	0	4.81	0
0505202501099002245300120010020362857663628576612	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	05/05/2025	SB	SB	1	0.17	0	0.17	0
0505202501099282225200120130020002656921234567814	0992822252001	GESURYMACA S.A.	05/05/2025	EXTRA	0101	4.008000	2.169565	0.00	8.70	1.30
0105202501179005388100120019991136118830095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Serv. Alum. Públic. General	ZAPUGE	1.00	1.38	0.00	1.38	0.00
0105202501179005388100120019991136118830095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Comercialización	ZCOMER	1.00	1.41	0.00	1.41	0.00
0105202501179005388100120019991136118830095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Energía total	ZENERG	1.00	15.88	0.00	15.88	0.00
0105202501179005388100120019991136118830095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Subsidio Cruzado Solidario	ZSUCRS	1.00	1.73	0.00	1.73	0.00
0505202501179004122000120039030001271391790041218	1790041220001	COMERCIAL KYWI S.A.	05/05/2025	PORC. MUNIN RECT 60X120 CJ1.44MT V4	420604	35.00	16.521739	0.00	578.26	86.74
0505202501099215390300120190010000082018513903318	0992153903001	TRANSCASH S.A.	05/05/2025	INT BONDEX STANDARD CERAMICA 25KG	008004MENHERBONDXINTSTD	25.00	4.000000	0.00	100.00	5.00
0505202501180172116600120010010000054520505452210	1801721166001	CHERRES CANSECO LUIS ALBERTO	05/05/2025	30X60 TANARO CJ 1,80M2	500230	23.76	7.61	0.00	180.78	27.12
0505202501179020808700120250010000336220511230410	1790208087001	F.V. - Area Andina S.A.	05/05/2025	COMBO MAX BLANCO	E115.223.2230-BL	4.000000	66.450000	85.80	179.99	26.99
0505202501099215390300120190010000082068331943311	0992153903001	TRANSCASH S.A.	05/05/2025	INT BONDEX PLUS 25KG	BONDINTPLU	20.00	6.813300	0.00	136.27	6.81
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	PICO COLORFLEX P/ JUEGOS 511 (NEGRO)	E511.04.D3.2.02 DH (N) CR	1.000000	30.070000	11.33	18.73	2.80
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	INODORO ONE PIECE MONACO BLANCO	E179-BL	3.000000	186.260000	295.98	262.79	39.41
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	VALVULA DE INGRESO ANTISIFON	EHE.1.10.01-DH	2.000000	5.270000	2.27	8.26	1.23
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	PICO COLORFLEX P/ JUEGOS 511 (GRIS)	E511.04.D3.2.02 DH (G) CR	1.000000	30.070000	11.33	18.73	2.80
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	JGO. MEZCL. MONOCOMANDO P/COCINA ELIPSIS (SIN PICO) CR	E511.01.03/D6 CR	2.000000	57.330000	34.83	79.82	11.97
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	LAVATORIO ELEA OVAL PREMARCADO BLANCO	E231-BL	2.000000	36.740000	26.41	47.06	7.05
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	LAVATORIO ALPES BLANCO CON PEDESTAL	E224-BL	1.000000	24.690000	5.33	19.35	2.90
0505202501179020808700120250010000336190510571811	1790208087001	F.V. - Area Andina S.A.	05/05/2025	JGO. MONOCOMANDO PARA LAVABO COMPACTA CR	E181/M4 CR	2.000000	36.750000	19.63	53.86	8.08
0505202501179244082300120040020000249100002491011	1792440823001	IMPORTACIONES DAR CERAMICS IMPORDARCER SA	05/05/2025	ESQUINA ALUM CEREZO 2 5 M	IEAC2001	3.000000	20.910000	12.55	50.18	7.53
0505202501099001544900120190100002827534609102017	0990015449001	INTACO ECUADOR S.A.	05/05/2025	BONDEX STANDARD CERAMICA 25KG	P0212	240.00	5.0100	339.31	863.09	43.15
0505202501099001544900120190100002827534609102017	0990015449001	INTACO ECUADOR S.A.	05/05/2025	SERV LOGISTICO	SRLOGT	1.00	57.0000	0.00	57.00	8.55
0505202501099001544900120190100002827581822134214	0990015449001	INTACO ECUADOR S.A.	05/05/2025	BONDEX PLUS CERAMICA 25KG	P0213	240.00	8.0700	546.58	1390.22	69.51
0505202501099001544900120190100002827581822134214	0990015449001	INTACO ECUADOR S.A.	05/05/2025	SERV LOGISTICO	SRLOGT	1.00	57.0000	0.00	57.00	8.55
0505202501180172116600120010010000054370505437414	1801721166001	CHERRES CANSECO LUIS ALBERTO	05/05/2025	30X60 TANARO CJ 1,80M2	500230	23.76	7.61	0.00	180.78	27.12
0105202501179016065300120191010000189682032962114	1790160653001	EDESA S.A.	01/05/2025	IND. EVOLUTION RF SEG. ORANGE-MONT. PLUS	JS0022919552CE	6.00	76.03000	228.17	228.01	34.20
0105202501179016065300120191010000189682032962114	1790160653001	EDESA S.A.	01/05/2025	LAVAMANOS ANDES C/P SEG. BLANCO	JS0055611302CE	6.00	22.70000	27.24	108.96	16.34
0105202501179016065300120191010000189682032962114	1790160653001	EDESA S.A.	01/05/2025	ONE PIECE VITTORIA RIMLESS SEGUNDA BLANCO	JS0066171302CE	2.00	159.13000	165.49	152.77	22.92
0105202501179016065300120191010000189682032962114	1790160653001	EDESA S.A.	01/05/2025	URINARIO BROOKLYN IMPERIAL	CS0065921302CG	3.00	46.06000	27.64	110.54	16.58
0105202501179016065300120191010000189682032962114	1790160653001	EDESA S.A.	01/05/2025	ASIENTO UNIVERSAL STD. RF BLANCO	SP2095811301BO	2.00	10.42000	4.17	16.67	2.50
0505202501179226230500120010110000420590012243116	1792262305001	DISTRIBUIDORA AMERICAN HOME S A	05/05/2025	Freg. 100x50 Der + Reb Mex  --	TEKA40136616	4.000000	49.000000	5.88	190.12	28.52
0505202501179226230500120010110000420590012243116	1792262305001	DISTRIBUIDORA AMERICAN HOME S A	05/05/2025	Freg. 100x50 Izq + Reb Mex  --	TEKA40136614IZQ	2.000000	49.000000	2.94	95.06	14.26
0505202501171193135000120020030001103620011036218	1711931350001	ANDRADE ARELLANO DARIO LENIN	05/05/2025	ACLARATORIA, AMPLIATORIA, MODIFICATORIA, RECTIFICATORIA O RATIFICATORIA	CJ001	1.00000	94.00000	0.00	94.00	14.10
0505202501171193135000120020030001103620011036218	1711931350001	ANDRADE ARELLANO DARIO LENIN	05/05/2025	(15) CERTIFICACIÓN DE DOCUMENTOS EXHIBIDOS EN ORIGINAL O COPIA CERTIFICADA QUE SE INCORPOREN A LA ESCRITURA PÚBLICA	CJ001	1.00000	26.85000	0.00	26.85	4.03
0505202501171193135000120020030001103620011036218	1711931350001	ANDRADE ARELLANO DARIO LENIN	05/05/2025	(3) CERTIFICACIÓN DE DOCUMENTOS MATERIALIZADOS DESDE PÁGINA WEB O DE CUALQUIER SOPORTE ELECTRÓNICO QUE SE INCORPOREN A LA ESCRITURA PÚBLICA	CJ001	1.00000	4.02000	0.00	4.02	0.60
